Losses,epoch,Train DA,tta_status,overlap,threshold,image_score,topo_score,surface_dice,voi_score,voi_split,voi_merge,dt_c_time
Focal_Tversky_CLDICE,40,safe,no_TTA,0.6,0.6,0.4987344970326816,0.132991412133418,0.7736031156172978,0.5373599512188623,1.354273593415773,1.5563177862496993,2026-02-02 07:56:29.866475
Focal_Tversky_CLDICE,40,safe,no_TTA,0.5,0.4,0.4909739237944052,0.1179279406312701,0.7148515036220837,0.5868500438208424,0.7511418595872621,1.6393414029289617,2026-02-01 20:06:12.079420
Focal_Tversky_CLDICE,40,safe,no_TTA,0.5,0.7,0.4767490787791403,0.1124010266021496,0.7312065579219386,0.5345899300737625,1.2800570555138666,1.6680675855053697,2026-02-02 00:45:21.933100
Focal_Tversky_CLDICE,40,safe,no_TTA,0.5,0.5,0.5009816680236107,0.1238185338156608,0.7564757143815254,0.5687703081296526,0.9505560467302432,1.6118596580221236,2026-02-02 08:52:22.137574
Focal_Tversky_CLDICE,40,safe,no_TTA,0.5,0.6,0.4975882768264479,0.1284946524565112,0.7741249620703018,0.5374175553282539,1.3574357312114165,1.553300898293028,2026-02-01 23:12:46.566669
CESoftDiceclDiceLoss_step3,Final,safe,TTA,0.5,0.4,0.5230066094467651,0.1498579304844378,0.8171722605971004,0.5486826831212815,1.3170516709907971,1.4582715169327147,2026-02-14 02:05:04.439034
CESoftDiceclDiceLoss_step3,Final,safe,TTA,0.5,0.5,0.5125455506530502,0.1353065841592015,0.804778751748732,0.5436600351235241,1.3535028093368195,1.4857590376601213,2026-02-14 02:44:23.480414
CESoftDiceclDiceLoss_step3,Final,safe,TTA,0.5,0.6,0.5023211215297146,0.1238397502032123,0.7864451257903333,0.5426097212632406,1.3201228538041614,1.5334899142984513,2026-02-14 03:23:10.316399
CESoftDiceclDiceLoss_step3,Final,safe,no_TTA,0.5,0.4,0.5143372490028177,0.1260077857612054,0.8149939622462388,0.5465343613950644,1.2828729458348187,1.5149296969061723,2026-02-10 19:12:24.635635
CESoftDiceclDiceLoss_step3,Final,safe,no_TTA,0.5,0.5,0.5087421247587687,0.1228823399372158,0.8067844321551532,0.5414367757808581,1.3371486552522862,1.5240295913168798,2026-02-10 20:44:00.000568
CESoftDiceclDiceLoss_step3,Final,safe,no_TTA,0.5,0.6,0.5019760268680415,0.1182917179471295,0.7938496425308453,0.5389746759945908,1.3378549048498514,1.554751251592212,2026-02-11 00:09:49.765429
Focal_Tversky,model,safe,TTA,0.6,0.4,0.5293401153619033,0.1687336745659094,0.8049728171882068,0.5627986485035941,1.189067069298016,1.43158973377781,2026-02-01 12:13:00.509741
Focal_Tversky,model,safe,TTA,0.5,0.4,0.5285666560253487,0.1666442739426593,0.8043392789622238,0.5630132177307788,1.1700874566754984,1.447955125416147,2026-01-31 18:58:03.464306
Focal_Tversky,model,safe,TTA,0.5,0.5,0.5247291213831466,0.1578195333849805,0.815751362593102,0.5482008127430481,1.3574474843625568,1.4299503844343149,2026-02-01 00:49:34.597212
Focal_Tversky,model,safe,TTA,0.5,0.6,0.5036070460699447,0.1282353285526361,0.7855024509084185,0.5434588276748785,1.3119272052653186,1.5346222225884023,2026-02-01 04:49:51.688607
Focal_Tversky,model,safe,no_TTA,0.5,0.4,0.5164672145108157,0.1346261284971764,0.7944757531990535,0.5657510352628402,1.0881719571396329,1.4984047154719518,2026-02-04 10:38:44.862570
Focal_Tversky,model,safe,no_TTA,0.5,0.5,0.5130959051564642,0.1216835212660494,0.8125373223260841,0.5491508170357716,1.2846952344435727,1.488878838501718,2026-02-04 12:12:35.643252
Focal_Tversky,model,safe,no_TTA,0.5,0.6,0.4961092011764946,0.1027916524721721,0.7897516257382162,0.5395961040756208,1.3437957934422464,1.5477425755861225,2026-02-04 13:43:23.042049
BCE_DSC,200,all,TTA,0.5,0.4,0.5107384164416944,0.1331799001132153,0.808275684223877,0.5368227340839219,1.4526893240179988,1.4691016302153832,2026-02-07 21:30:03.419495
BCE_DSC,200,all,TTA,0.5,0.5,0.4954384287342514,0.111227700878129,0.7873620884224449,0.5328382500655913,1.4233112934236924,1.5515514983051486,2026-02-08 01:34:38.816037
BCE_DSC,200,all,TTA,0.5,0.6,0.4729094484380088,0.0821908282898053,0.7510443327493088,0.5296762385394541,1.312997466612921,1.6981639560804411,2026-02-08 05:38:34.994595
BCE_DSC,200,all,no_TTA,0.5,0.4,0.4945741424107016,0.1158321805638325,0.7841384962348056,0.5296457558839139,1.4481174696061772,1.5538962248174566,2026-02-04 18:19:40.440527
BCE_DSC,200,all,no_TTA,0.5,0.5,0.4858078392491795,0.1090246113359285,0.7701710943960409,0.5244016365993901,1.4755927223096126,1.5943091467209258,2026-01-29 14:37:10.952904
BCE_DSC,200,all,no_TTA,0.5,0.6,0.4733346604122788,0.0944614101102233,0.7492152040139917,0.5222026170694706,1.4444348793366342,1.6534609021417708,2026-02-04 19:50:51.244249
Focal_DSC_CLDICEsafe,60,safe,TTA,0.5,0.4,0.5104936765070069,0.1423784049314576,0.7676963854859608,0.5688183431642383,1.0344747389545872,1.5277353989861684,2026-02-06 20:10:11.596734
Focal_DSC_CLDICEsafe,60,safe,TTA,0.5,0.5,0.5150391808916566,0.1449373779405318,0.7944083803564517,0.5529000982421112,1.2410122245221695,1.486075555737943,2026-02-07 00:17:00.834628
Focal_DSC_CLDICEsafe,60,safe,TTA,0.5,0.6,0.49377628929105,0.132276827590776,0.7585893212148949,0.5388199388245826,1.3132603764645794,1.5828421860981112,2026-02-07 04:21:18.942440
Focal_DSC_CLDICEsafe,60,safe,no_TTA,0.5,0.4,0.4987313576689616,0.1157652737374972,0.756077190842845,0.5696421678649046,0.9557661910269356,1.6010814148908643,2026-02-04 03:21:08.131468
